ID_Analysis	Group	CAT_sum	ANI_sum	Ca_epm	Mg_epm	NaK_epm	HCO3CO3_epm	SO4_epm	CL_epm
608	2	12.957	12.928	28.502	33.025	38.473	41.708	17.713	40.579
609	2	16.908	15.704	47.22	15.088	37.692	29.432	34.469	36.099
610	2	9.364	8.558	58.084	33.394	8.522	72.003	21.407	6.59
611	2	9.191	8.747	78.185	17.006	4.809	65.577	24.751	9.672
612	2	18.23	17.899	38.047	27.987	33.966	37.086	39.432	23.482
613	2	8.646	8.327	49.063	25.7	25.237	52.348	28.005	19.647
614	2	5.614	5.278	65.782	24.92	9.298	73.285	16.559	10.155
615	2	3.958	3.376	90.778	4.169	5.053	69.431	22.216	8.353
616	2	10.099	9.911	59.293	35.033	5.674	47.957	46.635	5.408
617	2	8.843	8.426	27.649	55.829	16.522	42.013	31.878	26.11
618	2	16.341	15.202	35.732	36.76	27.507	24.365	41.495	34.14
619	2	1.324	1.19	15.106	18.656	66.239	24.79	1.765	73.445
620	2	6.599	6.367	65.798	31.171	3.031	87.514	8.497	3.989
621	2	4.736	4.481	79.033	12.162	8.805	78.643	12.542	8.815
622	2	0.742	0.55	53.774	11.051	35.175	20.909	22.727	56.364
623	2	1.597	1.655	40.639	56.669	2.693	80.242	16.375	3.384
624	2	1.791	1.802	41.82	27.582	30.597	48.224	17.314	34.462
625	2	12.849	11.613	34.174	27.535	38.291	51.089	5.916	42.995
626	2	6.168	5.554	66.342	28.016	5.642	82.031	3.745	14.224
627	2	4.87	4.223	82.998	8.439	8.563	78.001	3.955	18.044
628	2	10.167	9.688	49.08	23.468	27.452	50.578	18.27	31.152
629	2	6.93	5.964	61.934	36.811	1.255	85.731	9.071	5.198
630	2	8.541	7.686	57.839	21.192	20.969	51.6	19.776	28.623
631	2	10.313	8.703	44.517	42.286	13.197	57.061	25.118	17.821
632	2	11.681	10.655	53.831	33.816	12.353	36.452	32.041	31.506
633	2	13.939	13.171	72.315	26.566	1.119	20.036	78.248	1.716
634	2	19.286	19.976	29.498	21.762	48.74	38.066	9.692	52.243
635	2	5.354	4.498	47.535	36.888	15.577	76.145	8.804	15.051
636	2	5.53	5.408	38.807	52.08	9.114	76.831	9.615	13.554
637	2	9.471	9.156	63.753	29.543	6.705	42.606	51.846	5.548
638	2	10.985	11.162	16.35	57.679	25.972	49.624	26.115	24.261
639	2	6.288	5.975	70.627	15.697	13.677	69.121	16.72	14.159
